date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:21	488/488	---M--	200	added ('OK')	text/plain	etag:W/%221e8-+7rMqyDeVaEnZ8xvNLM8PlP+wLU%22	https://www.repixs.com/robots.txt		(from )
12:50:24	2035949/2035949	---MCZ	200	added ('OK')	text/html	etag:W/%22cc9680e505aca0ad86df8a32c2d63fb5%22	https://www.repixs.com/	C:/Users/91836/SOCIAL%20DADDY/SDMLS/www.repixs.com/index.html	(from )
12:50:25	432253/432253	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	C:/Users/91836/SOCIAL%20DADDY/SDMLS/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://www.repixs.com/)
12:50:25	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/91836/SOCIAL%20DADDY/SDMLS/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.repixs.com/)
12:50:25	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/91836/SOCIAL%20DADDY/SDMLS/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.repixs.com/)
12:50:26	2207/2207	---M-Z	400	error ('Bad%20Request')	text/html	date:Thu,%2028%20May%202026%2007:20:26%20GMT	https://www.repixs.com/C,location.href	C:/Users/91836/SOCIAL%20DADDY/SDMLS/www.repixs.com/C,location.href	(from https://www.repixs.com/)
12:50:26	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2028%20May%202026%2007:20:26%20GMT	https://www.repixs.com/t	C:/Users/91836/SOCIAL%20DADDY/SDMLS/www.repixs.com/t	(from https://www.repixs.com/)
12:50:27	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2028%20May%202026%2007:20:27%20GMT	https://www.repixs.com/o	C:/Users/91836/SOCIAL%20DADDY/SDMLS/www.repixs.com/o	(from https://www.repixs.com/)
12:50:28	15149/15149	---MCZ	200	added ('OK')	text/xml	date:Thu,%2028%20May%202026%2007:20:28%20GMT	https://www.repixs.com/blog-feed.xml	C:/Users/91836/SOCIAL%20DADDY/SDMLS/www.repixs.com/blog-feed.xml	(from https://www.repixs.com/)
12:50:28	1348/1348	---M--	200	added ('OK')	image/png	date:Thu,%2028%20May%202026%2007:20:29%20GMT	https://static.wixstatic.com/media/54ade2_d46fa364ae5b4aa1a3e734927b8c39c2~mv2.png/v1/crop/x_0,y_578,w_1920,h_2,q_85,blur_1,enc_auto/54ade2_d46fa364ae5b4aa1a3e734927b8c39c2~mv2.png	C:/Users/91836/SOCIAL%20DADDY/SDMLS/static.wixstatic.com/media/54ade2_d46fa364ae5b4aa1a3e734927b8c39c2_mv2.png/v1/crop/x_0,y_578,w_1920,h_2,q_85,blur_1,enc_auto/54ade2_d46fa364ae5b4aa1a3e734927b8c39c2_mv2.png	(from https://www.repixs.com/)
12:50:29	9388/9388	---M--	200	added ('OK')	image/png	date:Thu,%2028%20May%202026%2007:20:29%20GMT	https://static.wixstatic.com/media/54ade2_ae033b3396e7419fa5046acabfdde841~mv2.png/v1/fill/w_70,h_100,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/54ade2_ae033b3396e7419fa5046acabfdde841~mv2.png	C:/Users/91836/SOCIAL%20DADDY/SDMLS/static.wixstatic.com/media/54ade2_ae033b3396e7419fa5046acabfdde841_mv2.png/v1/fill/w_70,h_100,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/54ade2_ae033b3396e7419fa5046acabfdde841_mv2.png	(from https://www.repixs.com/)
